image,emotion
facial-expressions_2868588k.jpg,anger
facial-expressions_2868585k.jpg,surprise
facial-expressions_2868584k.jpg,disgust
facial-expressions_2868582k.jpg,fear
Aaron_Eckhart_0001.jpg,neutral
Aaron_Guiel_0001.jpg,happiness
Aaron_Patterson_0001.jpg,neutral
Aaron_Peirsol_0001.jpg,happiness
Aaron_Peirsol_0002.jpg,happiness
Aaron_Peirsol_0003.jpg,happiness
Aaron_Peirsol_0004.jpg,neutral
Aaron_Pena_0001.jpg,neutral
Aaron_Sorkin_0001.jpg,happiness
Aaron_Sorkin_0002.jpg,happiness
Aaron_Tippin_0001.jpg,neutral
Abbas_Kiarostami_0001.jpg,neutral
Abba_Eban_0001.jpg,happiness
Abdel_Aziz_Al-Hakim_0001.jpg,neutral
Abdel_Madi_Shabneh_0001.jpg,neutral
Abdel_Nasser_Assidi_0001.jpg,neutral
Abdel_Nasser_Assidi_0002.jpg,neutral
Abdoulaye_Wade_0001.jpg,neutral
Abdoulaye_Wade_0002.jpg,happiness
Abdoulaye_Wade_0003.jpg,neutral
Abdoulaye_Wade_0004.jpg,happiness
Abdulaziz_Kamilov_0001.jpg,neutral
Abdullah_0001.jpg,neutral
Abdullah_0002.jpg,neutral
Abdullah_0003.jpg,neutral
Abdullah_0004.jpg,neutral
Abdullah_Ahmad_Badawi_0001.jpg,happiness
Abdullah_al-Attiyah_0003.jpg,neutral
Abdullah_Gul_0001.jpg,neutral
Abdullah_Gul_0002.jpg,happiness
Abdullah_Gul_0003.jpg,happiness
Abdullah_Gul_0004.jpg,happiness
Abdullah_Gul_0005.jpg,happiness
Abdullah_Gul_0006.jpg,neutral
Abdullah_Gul_0007.jpg,neutral
Abdullah_Gul_0008.jpg,neutral
Abdullah_Gul_0009.jpg,neutral
Abdullah_Gul_0010.jpg,neutral
Abdullah_Gul_0011.jpg,neutral
Abdullah_Gul_0012.jpg,happiness
Abdullah_Gul_0013.jpg,neutral
Abdullah_Gul_0014.jpg,neutral
Abdullah_Gul_0016.jpg,neutral
Abdullah_Gul_0017.jpg,neutral
Abdullah_Gul_0018.jpg,neutral
Abdullah_Gul_0019.jpg,neutral
Abdullah_Nasseef_0001.jpg,surprise
Abdullatif_Sener_0001.jpg,neutral
Abdullatif_Sener_0002.jpg,neutral
Abdul_Rahman_0001.jpg,neutral
Abel_Aguilar_0001.jpg,neutral
Abel_Pacheco_0001.jpg,neutral
Abel_Pacheco_0002.jpg,neutral
Abel_Pacheco_0003.jpg,neutral
Abel_Pacheco_0004.jpg,neutral
Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,happiness
Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,neutral
Abner_Martinez_0001.jpg,happiness
Abraham_Foxman_0001.jpg,neutral
Aby_Har-Even_0001.jpg,neutral
Adam_Ant_0001.jpg,neutral
Adam_Freier_0001.jpg,neutral
Adam_Herbert_0001.jpg,neutral
Adam_Kennedy_0001.jpg,neutral
Adam_Mair_0001.jpg,surprise
Adam_Rich_0001.jpg,neutral
Adam_Sandler_0001.jpg,neutral
Adam_Sandler_0002.jpg,neutral
Adam_Sandler_0003.jpg,neutral
Adam_Sandler_0004.jpg,happiness
Adam_Scott_0001.jpg,neutral
Adam_Scott_0002.jpg,neutral
Adelina_Avila_0001.jpg,neutral
Adel_Al-Jubeir_0001.jpg,neutral
Adel_Al-Jubeir_0002.jpg,neutral
