image,emotion
facial-expressions_2868585k.jpg,7
facial-expressions_2868582k.jpg,3
Aaron_Peirsol_0003.jpg,4
Aaron_Sorkin_0002.jpg,4
Abdel_Nasser_Assidi_0002.jpg,5
Abdullah_Gul_0002.jpg,4
Abdullah_Gul_0004.jpg,4
Abdullah_Gul_0007.jpg,5
Abdullah_Gul_0008.jpg,5
Abdullah_Gul_0009.jpg,5
Abdullah_Gul_0010.jpg,5
Abdullah_Gul_0011.jpg,5
Abdullah_Gul_0012.jpg,4
Abdullah_Gul_0013.jpg,5
Abdullah_Gul_0017.jpg,5
Abner_Martinez_0001.jpg,4
Aby_Har-Even_0001.jpg,5
Adam_Mair_0001.jpg,7
Adam_Rich_0001.jpg,5
Adelina_Avila_0001.jpg,5
Adel_Al-Jubeir_0001.jpg,5
Adolfo_Aguilar_Zinser_0001.jpg,5
Adoor_Gopalakarishnan_0001.jpg,5
Adrien_Brody_0002.jpg,5
Adrien_Brody_0003.jpg,4
Adrien_Brody_0006.jpg,4
Adrien_Brody_0011.jpg,4
Afton_Smith_0001.jpg,4
Agbani_Darego_0001.jpg,5
Ahmed_Chalabi_0002.jpg,5
Ahmed_Chalabi_0004.jpg,4
Ahmed_Chalabi_0005.jpg,5
Ahmed_Ibrahim_Bilal_0001.jpg,5
Aicha_El_Ouafi_0003.jpg,5
Aileen_Riggin_Soule_0001.jpg,4
Ainsworth_Dyer_0001.jpg,5
Ai_Sugiyama_0004.jpg,4
Ai_Sugiyama_0005.jpg,4
Akbar_Al_Baker_0001.jpg,4
Akbar_Hashemi_Rafsanjani_0003.jpg,5
Alain_Ducasse_0001.jpg,4
Alan_Ball_0001.jpg,4
Alan_Greenspan_0003.jpg,7
Alan_Jackson_0001.jpg,4
Alan_Stonecipher_0001.jpg,5
Alan_Zemaitis_0001.jpg,5
Albaro_Recoba_0001.jpg,5
Alberta_Lee_0001.jpg,4
Alberto_Fujimori_0001.jpg,4
Alberto_Fujimori_0002.jpg,5
Alberto_Gonzales_0001.jpg,5
Albert_Brooks_0001.jpg,4
Albert_Costa_0005.jpg,5
Albert_Costa_0006.jpg,5
Albrecht_Mentz_0001.jpg,5
Aldo_Paredes_0001.jpg,4
Alec_Baldwin_0002.jpg,4
Alejandro_Atchugarry_0001.jpg,5
Alejandro_Atchugarry_0002.jpg,5
Alejandro_Lerner_0001.jpg,5
Alejandro_Toledo_0003.jpg,5
Alejandro_Toledo_0004.jpg,0
Alejandro_Toledo_0006.jpg,5
Alejandro_Toledo_0007.jpg,4
Alejandro_Toledo_0009.jpg,4
Alejandro_Toledo_0012.jpg,4
Alejandro_Toledo_0022.jpg,5
Alejandro_Toledo_0027.jpg,4
Alejandro_Toledo_0029.jpg,5
Alejandro_Toledo_0036.jpg,5
Alessandra_Cerna_0001.jpg,6
Alexander_Downer_0002.jpg,5
Alexander_Lukashenko_0001.jpg,0
Alexandra_Spann_0001.jpg,4
Alexandra_Stevenson_0002.jpg,5
Alexandra_Vodjanikova_0002.jpg,4
Alexandre_Daigle_0001.jpg,4
Alexandre_Despatie_0001.jpg,4
Alex_Corretja_0001.jpg,5
Alex_Holmes_0001.jpg,4
Alex_Penelas_0002.jpg,5
Alex_Zanardi_0001.jpg,4
Alfonso_Cuaron_0001.jpg,5
Alicia_Keys_0001.jpg,4
Alicia_Witt_0001.jpg,4
Alimzhan_Tokhtakhounov_0002.jpg,5
Aline_Chretien_0001.jpg,4
Alistair_MacDonald_0001.jpg,4
Ali_Adbul_Karim_Madani_0001.jpg,4
Ali_Ahmeti_0001.jpg,5
Ali_Fallahian_0001.jpg,5
Ali_Hammoud_0001.jpg,4
Ali_Mohammed_Maher_0001.jpg,5
Ali_Naimi_0005.jpg,5
Ali_Naimi_0006.jpg,5
Allen_Iverson_0002.jpg,5
Allison_Janney_0002.jpg,4
Allyson_Felix_0003.jpg,4
Alonzo_Mourning_0001.jpg,5
Alvaro_Noboa_0001.jpg,4
Alvaro_Silva_Calderon_0001.jpg,7
Alvaro_Silva_Calderon_0002.jpg,4
Alvaro_Silva_Calderon_0004.jpg,5
Alvaro_Uribe_0003.jpg,5
Alvaro_Uribe_0007.jpg,5
Alvaro_Uribe_0010.jpg,5
Alvaro_Uribe_0011.jpg,5
Alvaro_Uribe_0017.jpg,5
Alvaro_Uribe_0019.jpg,5
Alvaro_Uribe_0020.jpg,4
Alvaro_Uribe_0023.jpg,5
Alvaro_Uribe_0026.jpg,5
Alvaro_Uribe_0028.jpg,5
Alvaro_Uribe_0029.jpg,5
Alvaro_Uribe_0032.jpg,4
Alyse_Beaupre_0001.jpg,4
Aly_Wagner_0001.jpg,4
Al_Gore_0004.jpg,5
Al_Pacino_0003.jpg,4
Al_Sharpton_0002.jpg,5
Al_Sharpton_0003.jpg,5
Al_Sharpton_0005.jpg,7
Al_Sharpton_0006.jpg,5
Al_Sharpton_0007.jpg,5
Amanda_Bynes_0001.jpg,4
Amanda_Bynes_0002.jpg,4
Amanda_Coetzer_0001.jpg,6
Amanda_Coetzer_0002.jpg,5
Amanda_Marsh_0001.jpg,4
Amelia_Vega_0007.jpg,4
Amelie_Mauresmo_0002.jpg,7
Amelie_Mauresmo_0007.jpg,5
Amelie_Mauresmo_0014.jpg,7
Amram_Mitzna_0001.jpg,5
Amram_Mitzna_0002.jpg,4
Amy_Gale_0001.jpg,6
Amy_Yasbeck_0001.jpg,4
Ana_Claudia_Talancon_0001.jpg,4
Ana_Guevara_0001.jpg,4
Ana_Isabel_Sanchez_0001.jpg,5
Ana_Palacio_0002.jpg,5
Ana_Paula_Gerard_0001.jpg,4
Anders_Fogh_Rasmussen_0002.jpg,4
Andrea_Bocelli_0001.jpg,5
Andrea_De_Cruz_0001.jpg,4
Andrei_Konchalovsky_0001.jpg,4
Andrei_Mikhnevich_0002.jpg,5
Andres_DAlessandro_0001.jpg,4
Andrew_Bunner_0002.jpg,4
Andrew_Gilligan_0001.jpg,5
Andrew_Jarecki_0001.jpg,5
Andrew_Luster_0001.jpg,5
Andre_Agassi_0001.jpg,5
Andre_Agassi_0014.jpg,6
Andre_Agassi_0016.jpg,4
Andre_Agassi_0017.jpg,4
Andre_Agassi_0019.jpg,4
Andre_Agassi_0022.jpg,4
Andre_Agassi_0029.jpg,4
Andre_Agassi_0033.jpg,5
Andre_Agassi_0035.jpg,4
Andre_Smith_0001.jpg,4
Andre_Techine_0001.jpg,5
Andy_Hebb_0001.jpg,5
Andy_Madikians_0001.jpg,5
Andy_Roddick_0002.jpg,4
Andy_Roddick_0007.jpg,5
Andy_Roddick_0013.jpg,5
Andy_Roddick_0014.jpg,5
Andy_Rooney_0001.jpg,4
Andy_Warhol_0001.jpg,5
Angela_Alvarado_Rosa_0001.jpg,5
Angela_Bassett_0001.jpg,4
Angela_Bassett_0004.jpg,4
Angela_Bassett_0006.jpg,4
Angela_Lansbury_0001.jpg,4
Angela_Merkel_0001.jpg,4
Angela_Merkel_0005.jpg,4
Angelina_Jolie_0005.jpg,0
Angelina_Jolie_0006.jpg,5
Angelina_Jolie_0007.jpg,5
Angelina_Jolie_0008.jpg,5
Angelina_Jolie_0009.jpg,5
Angelina_Jolie_0013.jpg,4
Angelina_Jolie_0014.jpg,5
Angelina_Jolie_0015.jpg,4
Angelina_Jolie_0018.jpg,4
Angelina_Jolie_0019.jpg,5
Angelo_Reyes_0003.jpg,5
Angel_Lockward_0001.jpg,4
Anibal_Ibarra_0001.jpg,4
Anibal_Ibarra_0002.jpg,4
Anjum_Hussain_0001.jpg,5
Anna_Kournikova_0012.jpg,4
Anna_Nicole_Smith_0002.jpg,4
Annette_Lu_0001.jpg,4
Anne_Krueger_0001.jpg,5
Anne_McLellan_0001.jpg,4
Anne_McLellan_0002.jpg,5
Annie_Machon_0001.jpg,5
Ann_Morgan_0001.jpg,4
Ann_Veneman_0002.jpg,5
Ann_Veneman_0003.jpg,4
Ann_Veneman_0006.jpg,5
Ann_Veneman_0011.jpg,5
Anthony_Fauci_0001.jpg,5
Anthony_Pico_0001.jpg,4
Anthony_Principi_0001.jpg,5
Anthony_Rackauckas_0001.jpg,5
Antonio_Banderas_0001.jpg,5
Antonio_Banderas_0005.jpg,5
