,image,emotion,mouth_distance,average_distance
3954,Roh_Moo-hyun_0018.jpg,1,-17.333333333333332,69.83189311373242
1418,George_Foreman_0002.jpg,1,-1.6666666666666667,67.01412500232314
1443,George_W_Bush_0016.jpg,1,-11.666666666666666,70.78558503285049
1461,George_W_Bush_0088.jpg,1,-7.333333333333333,72.93295286896624
326,Ariel_Sharon_0055.jpg,0,-5.666666666666667,71.5149614128565
3024,Mariana_Gonzalez_0001.jpg,1,0.6666666666666666,56.9536401648541
1674,Goldie_Hawn_0007.jpg,0,-9.666666666666666,85.07526944176101
347,Ari_Fleischer_0013.jpg,1,-18.666666666666668,81.71890644936627
1929,Igor_Ivanov_0003.jpg,1,0.0,58.70100474844966
1240,Ellen_DeGeneres_0001.jpg,0,-25.666666666666668,72.0868567919654
4678,Walt_Harris_0001.jpg,1,-5.333333333333333,62.84980482967333
1897,Hun_Sen_0001.jpg,0,-31.333333333333332,83.96205401156425
2461,Jonathan_Mostow_0002.jpg,0,-2.6666666666666665,52.339406710524415
1955,Jackie_Chan_0002.jpg,0,-24.0,76.10768669489595
3940,Roger_Federer_0002.jpg,0,-10.0,62.34630410014772
520,Bob_Herz_0001.jpg,0,-7.333333333333333,71.04655285804077
1528,George_W_Bush_0345.jpg,1,-12.333333333333334,69.30527255915145
4167,Shaul_Mofaz_0003.jpg,1,-0.3333333333333333,54.41210055540231
597,Bud_Selig_0003.jpg,1,-10.0,79.58328426841969
189,Amelie_Mauresmo_0021.jpg,1,-1.6666666666666667,56.56561589326224
4565,Troy_Garity_0001.jpg,1,-5.333333333333333,75.57123435499592
1048,Deena_Burnett_0001.jpg,1,-13.666666666666666,52.283548276826295
2721,Kofi_Annan_0023.jpg,1,-18.0,87.42977038249013
2161,Jean_Chretien_0053.jpg,1,-18.666666666666668,62.90829954981404
2815,Lee_Soo-hyuck_0001.jpg,1,-1.0,68.48663459133512
2069,Jana_Pittman_0001.jpg,0,-47.666666666666664,80.50168441574144
1782,Hans_Blix_0023.jpg,1,-1.3333333333333333,62.80999592608883
3120,Matt_Damon_0003.jpg,0,-31.333333333333332,69.30070408376231
3373,Naomi_Watts_0018.jpg,0,-19.666666666666668,66.1183306694825
3207,Michael_Leavitt_0002.jpg,1,-7.333333333333333,76.40600213746143
4424,Tommy_Thompson_0005.jpg,1,0.3333333333333333,68.65109746676308
2645,Kelvin_Sampson_0002.jpg,1,-10.333333333333334,53.21860723195734
2358,John_Ashcroft_0009.jpg,1,-8.666666666666666,64.34350566648732
1409,Gennifer_Flowers_0001.jpg,1,-16.666666666666668,74.82152062138863
1194,Edmund_Stoiber_0007.jpg,0,-17.333333333333332,74.86441030820886
1921,Ian_Thorpe_0006.jpg,0,-39.0,86.34677259983899
363,Arnold_Schwarzenegger_0035.jpg,0,-22.0,72.66191798500448
109,Alexis_Dennisoff_0001.jpg,0,-11.666666666666666,70.62079059323705
982,Dario_Camuffo_0001.jpg,1,-0.6666666666666666,60.2101280149024
3114,Matthew_Broderick_0004.jpg,0,-1.3333333333333333,62.111467077831556
3318,Mohammed_Al-Douri_0006.jpg,1,-16.333333333333332,72.83918687992555
3772,Rebekah_Chantay_Revels_0001.jpg,0,-24.0,74.96511587809304
4671,Vojislav_Kostunica_0006.jpg,0,-1.6666666666666667,53.25884472575885
1167,Doris_Roberts_0001.jpg,1,-37.666666666666664,77.01216593774093
1730,Guy_Hemmings_0001.jpg,1,0.6666666666666666,53.818355987306695
1504,George_W_Bush_0257.jpg,1,-17.0,68.49617030185529
1485,George_W_Bush_0206.jpg,0,-22.0,70.00748384364096
494,Bill_Parcells_0002.jpg,0,-40.333333333333336,85.05618054839383
769,Chris_Cornell_0001.jpg,1,-15.0,56.79198711999839
333,Ariel_Sharon_0063.jpg,1,-2.3333333333333335,81.86105727977095
2719,Kofi_Annan_0015.jpg,1,25.333333333333332,53.0459257833675
195,Anastasia_Myskina_0001.jpg,3,-22.0,81.50853331682644
3294,Mira_Sorvino_0001.jpg,0,-18.666666666666668,72.3994903464254
4284,Surakait_Sathirathai_0001.jpg,0,-14.0,74.08244962580918
2627,Kathy_Gannon_0001.jpg,0,-19.333333333333332,71.43000542307475
684,Catherine_Donkers_0001.jpg,0,0.0,52.2824728151588
3079,Martina_Hingis_0003.jpg,2,-34.0,86.09088427163053
3214,Michael_Powell_0001.jpg,1,-23.666666666666668,59.880521900816696
3700,Priscilla_Presley_0002.jpg,1,-7.0,61.285283954729
467,Bill_Clinton_0019.jpg,1,-10.666666666666666,54.107026211640274
4338,Tavis_Smiley_0001.jpg,0,-12.0,74.76917912521726
4345,Terence_Newman_0001.jpg,0,-17.666666666666668,74.05534992788284
1032,David_Scott_Morris_0001.jpg,1,-1.0,65.71664099080377
1933,Igor_Ivanov_0015.jpg,1,-11.0,75.59396436288341
1287,Ernesto_Zedillo_0002.jpg,0,-13.666666666666666,69.49168660293414
605,Calvin_Harrison_0001.jpg,0,-36.333333333333336,90.18226569959751
1328,Felix_Sanchez_0001.jpg,0,-13.333333333333334,61.04201322771665
1751,Hamad_Bin_Isa_al-Khalifa_0001.jpg,0,-16.333333333333332,67.32212562461109
2677,Kim_Clijsters_0001.jpg,3,-22.666666666666668,57.0967449032492
1624,Gerhard_Schroeder_0101.jpg,1,-0.6666666666666666,69.16120342232
2448,John_Travolta_0007.jpg,0,-17.666666666666668,72.49004823715876
1104,Dino_de_Laurentis_0001.jpg,1,1.6666666666666667,52.563374173451514
424,Benicio_Del_Toro_0001.jpg,0,-24.0,77.00507358694938
4208,Simon_Chalk_0001.jpg,1,-0.6666666666666666,57.955406583416654
4261,Steve_Alford_0001.jpg,1,0.3333333333333333,59.011561605453096
1157,Donald_Rumsfeld_0119.jpg,0,-31.0,83.43051570952377
3004,Marcelo_Rios_0002.jpg,1,-13.0,68.21604222582117
4599,Vanessa_Redgrave_0003.jpg,0,-12.666666666666666,75.28294523038106
4226,Spencer_Abraham_0006.jpg,1,-18.666666666666668,80.83577535877708
3174,Michael_Andretti_0001.jpg,0,-17.0,76.76051515493634
1019,David_Leahy_0001.jpg,1,4.666666666666667,66.44242310629026
304,Arianna_Huffington_0004.jpg,0,-47.333333333333336,81.0763515689811
334,Ariel_Sharon_0065.jpg,1,-10.666666666666666,75.49411913666822
3552,Paula_Locke_0001.jpg,1,3.0,54.87069772527163
967,Daniel_Radcliffe_0004.jpg,0,-22.0,70.51339476177877
4505,Tony_Blair_0067.jpg,0,-26.0,75.87615826287967
1753,Hamid_Karzai_0001.jpg,0,-16.333333333333332,67.51037982475766
1115,Donald_Pettit_0001.jpg,0,-21.333333333333332,72.72251677690191
4080,Scott_McClellan_0002.jpg,0,-23.666666666666668,77.5136066300799
3252,Miguel_Cotto_0001.jpg,1,-2.3333333333333335,54.581700055685864
4491,Tony_Blair_0035.jpg,0,-32.333333333333336,80.01181925017819
1340,Fidel_Castro_0007.jpg,1,17.666666666666668,37.92747700692371
879,Colin_Powell_0161.jpg,1,3.3333333333333335,72.33104791913074
3317,Mohammed_Abu_Sharia_0001.jpg,0,-14.0,72.23591833654415
292,Antonio_Banderas_0002.jpg,0,-15.0,68.67843711758076
1205,Eduardo_Romero_0001.jpg,1,-7.666666666666667,64.45719758156729
1856,Holly_Hunter_0006.jpg,0,-26.333333333333332,72.26495876083983
1745,Halle_Berry_0012.jpg,0,-28.333333333333332,84.6143411098455
2279,Jimmy_Gurule_0001.jpg,1,-8.333333333333334,66.81296681484874
802,Claudio_Ranieri_0001.jpg,1,0.3333333333333333,57.018756778515204
2377,John_Banko_0002.jpg,1,-3.0,66.05470005725542
3406,Nestor_Kirchner_0002.jpg,0,-7.333333333333333,66.89954154678155
3067,Marquis_Estill_0001.jpg,2,-14.0,81.05090725879661
542,Boris_Jordan_0001.jpg,0,-28.666666666666668,78.30046075202392
4294,Suzie_McConnell_Serio_0001.jpg,0,-27.0,75.23896331254187
4365,Theresa_Gattung_0001.jpg,1,-8.333333333333334,48.20042229423472
2817,Lee_Yuan-tseh_0001.jpg,0,-4.333333333333333,64.08203442992586
1594,Gerhard_Schroeder_0001.jpg,0,-24.0,74.27211087135736
379,Askar_Akayev_0001.jpg,1,-1.0,70.9820296230797
590,Brook_Robinson_0001.jpg,0,-28.666666666666668,83.21393017242056
3156,Melanie_Griffith_0002.jpg,0,-34.0,71.98256769456835
