feature,emotion
[0.27912828 0.25747064 0.03511568 ... 0.14426074 0.21169071 0.23104672],5
[0.43334204 0.         0.         ... 0.         0.         0.        ],3
[0.14230901 0.12663919 0.21116704 ... 0.00321444 0.00598053 0.0064904 ],4
[0.15648733 0.20161171 0.02902058 ... 0.25004337 0.12601392 0.04455265],2
[0.19980741 0.0742602  0.07966516 ... 0.25647007 0.1997799  0.17025478],5
[0.22904589 0.04120284 0.14436062 ... 0.48103737 0.24024716 0.02358213],3
[0.1439838  0.08189348 0.14352438 ... 0.00657529 0.03834731 0.06566545],2
[0.07610708 0.01752879 0.00740641 ... 0.05949034 0.24868652 0.18102671],6
[0.28634039 0.20969037 0.13481193 ... 0.         0.00677989 0.        ],0
[0.23391355 0.16218192 0.04165803 ... 0.07591654 0.13270632 0.03631824],4
[0.12441999 0.06596967 0.00466479 ... 0.07441536 0.08653747 0.13731232],5
[0.29663206 0.29663206 0.29663206 ... 0.22689919 0.22585632 0.0304096 ],3
[0.22760681 0.04135157 0.01844419 ... 0.02618617 0.06008738 0.02963968],5
[0.33790994 0.10571255 0.13371698 ... 0.08289687 0.04752909 0.05836322],6
[0.13174311 0.23494529 0.1508101  ... 0.18764427 0.11417061 0.15372966],2
[0.18848343 0.0895313  0.29358843 ... 0.36791553 0.02105984 0.00717974],4
[0.05726035 0.         0.11147227 ... 0.         0.01116586 0.02871873],6
[0.21818469 0.0558082  0.14316794 ... 0.30051808 0.30799049 0.09957702],5
[0.24191606 0.09717148 0.06465787 ... 0.27982156 0.1222544  0.06207581],5
[0.18451957 0.         0.0482715  ... 0.03796886 0.03892743 0.        ],5
[0.09226062 0.02578763 0.0415813  ... 0.         0.03468702 0.04628894],0
[0.17170837 0.         0.         ... 0.         0.02720058 0.        ],4
[0.23238228 0.0746872  0.07047901 ... 0.24660092 0.39539331 0.14861055],6
[0.15846387 0.04883994 0.         ... 0.31372603 0.28919414 0.111349  ],7
