image,emotion
ANGER/facial-expressions_2868588k_0.jpg,0
SURPRISE/facial-expressions_2868585k_0.jpg,7
DISGUST/facial-expressions_2868584k_0.jpg,2
FEAR/facial-expressions_2868582k_0.jpg,3
NEUTRAL/Aaron_Eckhart_0001_0.jpg,5
HAPPINESS/Aaron_Guiel_0001_0.jpg,4
NEUTRAL/Aaron_Patterson_0001_1.jpg,5
HAPPINESS/Aaron_Peirsol_0001_1.jpg,4
HAPPINESS/Aaron_Peirsol_0002_2.jpg,4
HAPPINESS/Aaron_Peirsol_0003_3.jpg,4
NEUTRAL/Aaron_Peirsol_0004_2.jpg,5
NEUTRAL/Aaron_Pena_0001_3.jpg,5
HAPPINESS/Aaron_Sorkin_0001_4.jpg,4
HAPPINESS/Aaron_Sorkin_0002_5.jpg,4
NEUTRAL/Aaron_Tippin_0001_4.jpg,5
NEUTRAL/Abbas_Kiarostami_0001_5.jpg,5
HAPPINESS/Abba_Eban_0001_6.jpg,4
NEUTRAL/Abdel_Aziz_Al-Hakim_0001_6.jpg,5
NEUTRAL/Abdel_Madi_Shabneh_0001_7.jpg,5
NEUTRAL/Abdel_Nasser_Assidi_0001_8.jpg,5
NEUTRAL/Abdel_Nasser_Assidi_0002_9.jpg,5
NEUTRAL/Abdoulaye_Wade_0001_10.jpg,5
HAPPINESS/Abdoulaye_Wade_0002_7.jpg,4
HAPPINESS/Abdoulaye_Wade_0004_8.jpg,4
NEUTRAL/Abdulaziz_Kamilov_0001_11.jpg,5
NEUTRAL/Abdullah_0001_12.jpg,5
NEUTRAL/Abdullah_0002_13.jpg,5
NEUTRAL/Abdullah_0003_14.jpg,5
NEUTRAL/Abdullah_0004_15.jpg,5
HAPPINESS/Abdullah_Ahmad_Badawi_0001_9.jpg,4
NEUTRAL/Abdullah_al-Attiyah_0003_16.jpg,5
NEUTRAL/Abdullah_Gul_0001_17.jpg,5
HAPPINESS/Abdullah_Gul_0002_10.jpg,4
HAPPINESS/Abdullah_Gul_0004_11.jpg,4
HAPPINESS/Abdullah_Gul_0005_12.jpg,4
NEUTRAL/Abdullah_Gul_0006_18.jpg,5
NEUTRAL/Abdullah_Gul_0007_19.jpg,5
NEUTRAL/Abdullah_Gul_0008_20.jpg,5
NEUTRAL/Abdullah_Gul_0009_21.jpg,5
NEUTRAL/Abdullah_Gul_0010_22.jpg,5
NEUTRAL/Abdullah_Gul_0011_23.jpg,5
HAPPINESS/Abdullah_Gul_0012_13.jpg,4
NEUTRAL/Abdullah_Gul_0013_24.jpg,5
NEUTRAL/Abdullah_Gul_0014_25.jpg,5
NEUTRAL/Abdullah_Gul_0016_26.jpg,5
NEUTRAL/Abdullah_Gul_0017_27.jpg,5
NEUTRAL/Abdullah_Gul_0018_28.jpg,5
NEUTRAL/Abdullah_Gul_0019_29.jpg,5
SURPRISE/Abdullah_Nasseef_0001_1.jpg,7
NEUTRAL/Abdullatif_Sener_0002_30.jpg,5
NEUTRAL/Abdul_Rahman_0001_31.jpg,5
NEUTRAL/Abel_Aguilar_0001_32.jpg,5
NEUTRAL/Abel_Pacheco_0001_33.jpg,5
NEUTRAL/Abel_Pacheco_0002_34.jpg,5
NEUTRAL/Abel_Pacheco_0003_35.jpg,5
HAPPINESS/Abid_Hamid_Mahmud_Al-Tikriti_0001_14.jpg,4
NEUTRAL/Abid_Hamid_Mahmud_Al-Tikriti_0003_36.jpg,5
HAPPINESS/Abner_Martinez_0001_15.jpg,4
NEUTRAL/Abraham_Foxman_0001_37.jpg,5
NEUTRAL/Aby_Har-Even_0001_38.jpg,5
NEUTRAL/Adam_Ant_0001_39.jpg,5
NEUTRAL/Adam_Freier_0001_40.jpg,5
NEUTRAL/Adam_Herbert_0001_41.jpg,5
NEUTRAL/Adam_Kennedy_0001_42.jpg,5
NEUTRAL/Adam_Rich_0001_43.jpg,5
NEUTRAL/Adam_Sandler_0001_44.jpg,5
NEUTRAL/Adam_Sandler_0002_45.jpg,5
NEUTRAL/Adam_Sandler_0003_46.jpg,5
HAPPINESS/Adam_Sandler_0004_16.jpg,4
NEUTRAL/Adelina_Avila_0001_47.jpg,5
NEUTRAL/Adel_Al-Jubeir_0001_48.jpg,5
NEUTRAL/Adel_Al-Jubeir_0002_49.jpg,5
NEUTRAL/Adel_Al-Jubeir_0003_50.jpg,5
NEUTRAL/Adolfo_Aguilar_Zinser_0001_51.jpg,5
NEUTRAL/Adolfo_Aguilar_Zinser_0002_52.jpg,5
NEUTRAL/Adolfo_Aguilar_Zinser_0003_53.jpg,5
HAPPINESS/Adolfo_Rodriguez_Saa_0001_17.jpg,4
HAPPINESS/Adolfo_Rodriguez_Saa_0002_18.jpg,4
NEUTRAL/Adriana_Lima_0001_54.jpg,5
HAPPINESS/Adriana_Perez_Navarro_0001_19.jpg,4
NEUTRAL/Adrian_Fernandez_0001_55.jpg,5
NEUTRAL/Adrian_McPherson_0001_56.jpg,5
NEUTRAL/Adrian_McPherson_0002_57.jpg,5
NEUTRAL/Adrian_Murrell_0001_58.jpg,5
NEUTRAL/Adrian_Nastase_0001_59.jpg,5
NEUTRAL/Adrian_Nastase_0002_60.jpg,5
HAPPINESS/Adrien_Brody_0001_20.jpg,4
NEUTRAL/Adrien_Brody_0002_61.jpg,5
HAPPINESS/Adrien_Brody_0003_21.jpg,4
HAPPINESS/Adrien_Brody_0004_22.jpg,4
HAPPINESS/Adrien_Brody_0006_23.jpg,4
HAPPINESS/Adrien_Brody_0007_24.jpg,4
NEUTRAL/Adrien_Brody_0008_62.jpg,5
HAPPINESS/Adrien_Brody_0009_25.jpg,4
HAPPINESS/Adrien_Brody_0010_26.jpg,4
HAPPINESS/Adrien_Brody_0011_27.jpg,4
NEUTRAL/Adrien_Brody_0012_63.jpg,5
HAPPINESS/Afton_Smith_0001_28.jpg,4
NEUTRAL/Agbani_Darego_0001_64.jpg,5
NEUTRAL/Agnelo_Queiroz_0001_65.jpg,5
NEUTRAL/Agnes_Bruckner_0001_66.jpg,5
NEUTRAL/Ahmad_Jbarah_0001_67.jpg,5
NEUTRAL/Ahmad_Masood_0001_68.jpg,5
HAPPINESS/Ahmed_Ahmed_0001_29.jpg,4
NEUTRAL/Ahmed_Chalabi_0001_69.jpg,5
NEUTRAL/Ahmed_Chalabi_0002_70.jpg,5
NEUTRAL/Ahmed_Chalabi_0003_71.jpg,5
HAPPINESS/Ahmed_Chalabi_0004_30.jpg,4
NEUTRAL/Ahmed_Chalabi_0005_72.jpg,5
NEUTRAL/Ahmed_Ibrahim_Bilal_0001_73.jpg,5
NEUTRAL/Ahmed_Lopez_0001_74.jpg,5
HAPPINESS/Ahmed_Qureia_0001_31.jpg,4
NEUTRAL/Ahmet_Necdet_Sezer_0001_75.jpg,5
NEUTRAL/Ahmet_Necdet_Sezer_0002_76.jpg,5
NEUTRAL/Aicha_El_Ouafi_0001_77.jpg,5
NEUTRAL/Aicha_El_Ouafi_0002_78.jpg,5
NEUTRAL/Aicha_El_Ouafi_0003_79.jpg,5
NEUTRAL/Aidan_Quinn_0001_80.jpg,5
HAPPINESS/Aileen_Riggin_Soule_0001_32.jpg,4
NEUTRAL/Ainsworth_Dyer_0001_81.jpg,5
NEUTRAL/Ain_Seppik_0001_82.jpg,5
HAPPINESS/Aishwarya_Rai_0001_33.jpg,4
HAPPINESS/Aitor_Gonzalez_0001_34.jpg,4
HAPPINESS/Aitor_Gonzalez_0002_35.jpg,4
HAPPINESS/Ai_Sugiyama_0001_36.jpg,4
HAPPINESS/Ai_Sugiyama_0002_37.jpg,4
HAPPINESS/Ai_Sugiyama_0003_38.jpg,4
HAPPINESS/Ai_Sugiyama_0004_39.jpg,4
HAPPINESS/Ai_Sugiyama_0005_40.jpg,4
HAPPINESS/Ajit_Agarkar_0001_41.jpg,4
HAPPINESS/AJ_Cook_0001_42.jpg,4
HAPPINESS/AJ_Lamas_0001_43.jpg,4
HAPPINESS/Akbar_Al_Baker_0001_44.jpg,4
NEUTRAL/Akbar_Hashemi_Rafsanjani_0001_83.jpg,5
NEUTRAL/Akbar_Hashemi_Rafsanjani_0003_84.jpg,5
NEUTRAL/Akhmed_Zakayev_0001_85.jpg,5
NEUTRAL/Akhmed_Zakayev_0002_86.jpg,5
NEUTRAL/Akhmed_Zakayev_0003_87.jpg,5
HAPPINESS/Akmal_Taher_0001_45.jpg,4
HAPPINESS/Alain_Ducasse_0001_46.jpg,4
HAPPINESS/Alanis_Morissette_0001_47.jpg,4
HAPPINESS/Alanna_Ubach_0001_48.jpg,4
HAPPINESS/Alan_Ball_0001_49.jpg,4
HAPPINESS/Alan_Ball_0002_50.jpg,4
NEUTRAL/Alan_Dershowitz_0001_88.jpg,5
HAPPINESS/Alan_Greenspan_0002_51.jpg,4
SURPRISE/Alan_Greenspan_0003_2.jpg,7
NEUTRAL/Alan_Greenspan_0004_89.jpg,5
NEUTRAL/Alan_Greenspan_0005_90.jpg,5
NEUTRAL/Alan_Greer_0001_91.jpg,5
HAPPINESS/Alan_Jackson_0001_52.jpg,4
NEUTRAL/Alan_Mulally_0001_92.jpg,5
NEUTRAL/Alan_Stonecipher_0001_93.jpg,5
NEUTRAL/Alan_Tang_Kwong-wing_0001_94.jpg,5
HAPPINESS/Alan_Trammell_0001_53.jpg,4
NEUTRAL/Alan_Zemaitis_0001_95.jpg,5
NEUTRAL/Alastair_Campbell_0001_96.jpg,5
NEUTRAL/Alastair_Campbell_0002_97.jpg,5
NEUTRAL/Alastair_Campbell_0003_98.jpg,5
NEUTRAL/Alastair_Campbell_0004_99.jpg,5
NEUTRAL/Alastair_Campbell_0005_100.jpg,5
HAPPINESS/Alastair_Johnston_0001_54.jpg,4
NEUTRAL/Albaro_Recoba_0001_101.jpg,5
HAPPINESS/Alberta_Lee_0001_55.jpg,4
NEUTRAL/Alberto_Acosta_0001_102.jpg,5
