,image,emotion
951,Curtis_Rodriguez_0001.jpg,NEUTRAL
4543,Tony_Blair_0068.jpg,HAPPINESS
4223,Silvan_Shalom_0001.jpg,NEUTRAL
1470,George_W_Bush_0078.jpg,NEUTRAL
566,Brian_Campbell_0001.jpg,HAPPINESS
2864,Li_Changchun_0001.jpg,NEUTRAL
4720,Wang_Yi_0001.jpg,NEUTRAL
4525,Tony_Blair_0028.jpg,NEUTRAL
2687,Khum_Bahadur_Khadka_0001.jpg,NEUTRAL
157,Alvaro_Uribe_0011.jpg,NEUTRAL
2380,John_Ashcroft_0028.jpg,SURPRISE
338,Ariel_Sharon_0072.jpg,NEUTRAL
3840,Ricardo_Sanchez_0005.jpg,NEUTRAL
2803,Laura_Bush_0025.jpg,HAPPINESS
3257,Michelle_Kwan_0001.jpg,HAPPINESS
2500,Joseph_Biden_0003.jpg,NEUTRAL
1549,George_W_Bush_0370.jpg,NEUTRAL
1048,David_Wells_0006.jpg,NEUTRAL
448,Bernard_Lord_0001.jpg,NEUTRAL
4291,Stephen_Thompson_0001.jpg,NEUTRAL
2158,Jean_Brumley_0002.jpg,HAPPINESS
1812,Harry_Belafonte_0002.jpg,HAPPINESS
2102,Janine_Pietsch_0001.jpg,HAPPINESS
1971,Jackie_Chan_0004.jpg,HAPPINESS
1379,Frank_Griswold_0001.jpg,NEUTRAL
2648,Keiko_Sofia_Fujimori_0001.jpg,NEUTRAL
3134,Mathias_Reichhold_0003.jpg,HAPPINESS
2141,Jean-Francois_Lemounier_0001.jpg,NEUTRAL
298,Antonio_Bernardo_0001.jpg,NEUTRAL
190,Amelie_Mauresmo_0008.jpg,NEUTRAL
364,Arnold_Schwarzenegger_0026.jpg,NEUTRAL
4411,Thomas_Stewart_0001.jpg,NEUTRAL
2866,Li_Peng_0003.jpg,HAPPINESS
3770,Ralph_Firman_0001.jpg,NEUTRAL
2077,James_Wolfensohn_0004.jpg,NEUTRAL
3911,Roberto_Marinho_0003.jpg,HAPPINESS
708,Chan_Choi_0001.jpg,HAPPINESS
4492,Tom_Izzo_0001.jpg,SURPRISE
4794,Yao_Ming_0002.jpg,NEUTRAL
4138,Sepp_Blatter_0004.jpg,NEUTRAL
4401,Theo_Epstein_0002.jpg,HAPPINESS
2189,Jennie_Garth_0001.jpg,HAPPINESS
2509,Joseph_Ralston_0001.jpg,NEUTRAL
780,Chris_Reitsma_0001.jpg,NEUTRAL
2819,Laurent_Gbagbo_0002.jpg,NEUTRAL
4821,Zdravko_Mucic_0001.jpg,HAPPINESS
975,Daniel_Radcliffe_0004.jpg,HAPPINESS
4761,William_Umbach_0001.jpg,NEUTRAL
1649,Gianna_Angelopoulos-Daskalaki_0002.jpg,HAPPINESS
800,Clare_Short_0002.jpg,HAPPINESS
2378,John_Ashcroft_0023.jpg,NEUTRAL
3302,Mikhail_Gorbachev_0002.jpg,NEUTRAL
1439,George_Lopez_0005.jpg,HAPPINESS
2059,James_Kopp_0003.jpg,NEUTRAL
4218,Shimon_Peres_0005.jpg,NEUTRAL
4792,Yann_Martel_0001.jpg,NEUTRAL
1053,Debbie_Reynolds_0001.jpg,HAPPINESS
3317,Minnie_Driver_0001.jpg,HAPPINESS
2763,Lana_Clarkson_0002.jpg,HAPPINESS
4304,Steve_Mariucci_0003.jpg,HAPPINESS
4739,William_Bulger_0003.jpg,NEUTRAL
4612,T_Boone_Pickens_0001.jpg,HAPPINESS
212,Andrew_Cuomo_0002.jpg,HAPPINESS
499,Bill_Parsons_0001.jpg,NEUTRAL
85,Alejandro_Toledo_0001.jpg,NEUTRAL
815,Colin_Farrell_0002.jpg,HAPPINESS
4024,Roy_Moore_0004.jpg,NEUTRAL
704,Chanda_Rubin_0002.jpg,HAPPINESS
718,Charles_Moose_0009.jpg,NEUTRAL
3342,Mohammed_Abu_Sharia_0001.jpg,HAPPINESS
3697,Phil_Johnson_0001.jpg,NEUTRAL
4578,Tony_Blair_0137.jpg,NEUTRAL
1752,Habib_Rizieq_0002.jpg,NEUTRAL
1204,Edmund_Stoiber_0002.jpg,NEUTRAL
2038,James_Brown_0001.jpg,NEUTRAL
3362,Mufti_Mohammad_Syed_0001.jpg,NEUTRAL
4749,William_Hochul_0002.jpg,HAPPINESS
2518,Jose_Maria_Aznar_0009.jpg,NEUTRAL
3918,Robert_Blake_0008.jpg,SURPRISE
125,Alina_Kabaeva_0001.jpg,HAPPINESS
3589,Paul_Bremer_0003.jpg,NEUTRAL
2055,James_Kelly_0008.jpg,HAPPINESS
4080,Salma_Hayek_0006.jpg,NEUTRAL
4354,Talal_Keenaan_0001.jpg,NEUTRAL
1898,Hugo_Chavez_0044.jpg,NEUTRAL
4288,Stephen_Frears_0001.jpg,HAPPINESS
3931,Robert_Hanssen_0001.jpg,HAPPINESS
237,Andy_Roddick_0013.jpg,NEUTRAL
3473,Nick_Rimando_0001.jpg,HAPPINESS
3459,Nicanor_Duarte_Frutos_0002.jpg,NEUTRAL
348,Ari_Fleischer_0010.jpg,HAPPINESS
3237,Michael_Powell_0001.jpg,NEUTRAL
2760,Laila_Ali_0002.jpg,NEUTRAL
2892,Lindsay_Davenport_0008.jpg,NEUTRAL
378,Ashton_Kutcher_0001.jpg,HAPPINESS
4333,Sylvester_Stallone_0001.jpg,NEUTRAL
4296,Steve_Alford_0001.jpg,NEUTRAL
2245,Jeremy_Greenstock_0003.jpg,NEUTRAL
3365,Muhammad_Ibrahim_Bilal_0001.jpg,NEUTRAL
1514,George_W_Bush_0245.jpg,NEUTRAL
2169,Jean_Chretien_0023.jpg,NEUTRAL
2262,Jerry_Hall_0001.jpg,HAPPINESS
2207,Jennifer_Capriati_0039.jpg,ANGER
1456,George_W_Bush_0013.jpg,NEUTRAL
4098,Saparmurat_Niyazov_0001.jpg,HAPPINESS
3028,Marcos_Cafu_0001.jpg,HAPPINESS
213,Andrew_Gilligan_0001.jpg,NEUTRAL
1271,Emmanuel_Milingo_0001.jpg,NEUTRAL
1001,Dave_McGinnis_0001.jpg,NEUTRAL
3284,Mike_Martz_0004.jpg,NEUTRAL
3280,Mike_Brey_0001.jpg,NEUTRAL
386,Atal_Bihari_Vajpayee_0002.jpg,HAPPINESS
2008,Jacques_Chirac_0034.jpg,NEUTRAL
963,Damon_Stoudamire_0001.jpg,NEUTRAL
825,Colin_Powell_0011.jpg,NEUTRAL
4057,Saddam_Hussein_0002.jpg,NEUTRAL
2225,Jennifer_Lopez_0009.jpg,HAPPINESS
398,Austin_Kearns_0001.jpg,HAPPINESS
4319,Surakait_Sathirathai_0001.jpg,HAPPINESS
1482,George_W_Bush_0114.jpg,HAPPINESS
4644,Venus_Williams_0002.jpg,HAPPINESS
2717,Kimora_Lee_0001.jpg,HAPPINESS
360,Arnold_Schwarzenegger_0013.jpg,HAPPINESS
1637,Gerhard_Schroeder_0099.jpg,HAPPINESS
305,Anwar_Ibrahim_0001.jpg,NEUTRAL
359,Arnold_Schwarzenegger_0010.jpg,HAPPINESS
3075,Mark_Hamister_0001.jpg,NEUTRAL
3693,Phil_Bennett_0001.jpg,ANGER
3019,Malcolm_Wild_0001.jpg,NEUTRAL
1555,George_W_Bush_0378.jpg,NEUTRAL
1183,Dorthy_Moxley_0001.jpg,HAPPINESS
66,Albaro_Recoba_0001.jpg,NEUTRAL
